iter	Logloss
0	0.570538874
1	0.4845258575
2	0.4172139571
3	0.3669215404
4	0.3259805816
5	0.2939198182
6	0.2684763392
7	0.2483232551
8	0.2322057898
9	0.2195323242
10	0.2075049742
11	0.1993233894
12	0.1919959822
13	0.1858397978
14	0.1802802886
15	0.1762865703
16	0.1725526794
17	0.1693258662
18	0.1666961153
19	0.1649038266
20	0.1626846234
21	0.1609826254
22	0.1593967362
23	0.1578714094
24	0.1563733261
25	0.1552312954
26	0.1541154612
27	0.1527633792
28	0.1517698347
29	0.1510995715
30	0.1503430713
31	0.1496688308
32	0.1489925443
33	0.148600206
34	0.147902358
35	0.1475911934
36	0.1472338669
37	0.1468616922
38	0.1463707412
39	0.1458035806
40	0.1453270564
41	0.1449067603
42	0.1442748023
43	0.1438923414
44	0.1433264856
45	0.1428348842
46	0.1425333915
47	0.1421485956
48	0.1417741508
49	0.1412950084
50	0.1408532791
51	0.1403089022
52	0.1399472993
53	0.1394072403
54	0.1391722834
55	0.1387814692
56	0.1385702633
57	0.1382426468
58	0.1381063469
59	0.1379217791
60	0.1377508266
61	0.1375771124
62	0.1374266496
63	0.1371742617
64	0.1370141774
65	0.136645339
66	0.1363754081
67	0.1362772777
68	0.1360603077
69	0.1357427033
70	0.1356088777
71	0.1349148661
72	0.1347945973
73	0.1345912744
74	0.1342253598
75	0.1341055715
76	0.1339083467
77	0.1337000305
78	0.1336155453
79	0.1334186949
80	0.1333109951
81	0.133050615
82	0.1327407023
83	0.132518516
84	0.1323604538
85	0.132284956
86	0.132082879
87	0.1319708391
88	0.1318745179
89	0.1317310601
90	0.1314225597
91	0.1309605895
92	0.1307098868
93	0.1302696286
94	0.1301188706
95	0.1297983997
96	0.1296041244
97	0.1293395633
98	0.1289676735
99	0.128744922
