iter	Passed	Remaining
0	56	5634
1	58	2867
2	59	1916
3	60	1459
4	62	1178
5	63	994
6	65	863
7	66	766
8	68	692
9	70	630
10	71	579
11	73	536
12	74	500
13	76	468
14	77	441
15	79	417
16	81	395
17	82	376
18	84	360
19	85	343
20	87	328
21	88	315
22	90	302
23	92	291
24	93	281
25	95	271
26	96	262
27	98	253
28	100	246
29	102	238
30	103	231
31	105	224
32	107	217
33	108	211
34	110	205
35	112	199
36	114	194
37	116	189
38	117	184
39	119	179
40	121	174
41	122	169
42	124	165
43	126	160
44	128	156
45	129	152
46	131	148
47	133	144
48	135	140
49	136	136
50	138	133
51	140	129
52	142	125
53	143	122
54	145	119
55	147	115
56	149	112
57	152	110
58	154	107
59	156	104
60	158	101
61	160	98
62	161	95
63	163	92
64	166	89
65	167	86
66	169	83
67	171	80
68	173	77
69	175	75
70	176	72
71	178	69
72	180	66
73	182	64
74	184	61
75	186	58
76	188	56
77	189	53
78	191	50
79	193	48
80	196	46
81	200	44
82	203	41
83	205	39
84	207	36
85	209	34
86	212	31
87	216	29
88	219	27
89	221	24
90	222	22
91	224	19
92	226	17
93	228	14
94	230	12
95	232	9
96	234	7
97	235	4
98	237	2
99	239	0
